,Име на локация,lat,lng,Марка/модел стнанция,,AC/DC,Мощност
218,Park Lane Office Center BG230,42.6599174,23.3215557,ABB,ABB Wallbox,AC,  22 
219,Park Lane Office Center BG231,42.6599175,23.3215558,ABB,ABB Wallbox,AC,  22 
220,Park Lane Office Center BG232,42.6599176,23.3215559,ABB,ABB Wallbox,AC,  22 
221,Park Lane Office Center BG233,42.6599177,23.3215560,ABB,ABB DC Wallbox,DC,  24 
222,Bulport logistics BG201000,43.1991409,27.8971609,Circontrol,Circontrol Wallbox,AC,  22 
223,Bulport logistics BG202000,43.1991410,27.8971610,Circontrol,Circontrol Wallbox,AC,  22 
224,OMV Yambol BG237,42.5304490,26.3980140,ABB,ABB Terra 124CC,DC,  120 
225,HAAS 60 BG235,42.1551109,24.7110559,ABB,ABB DC Wallbox,DC,  24 
226,HAAS 60 BG236,42.1551110,24.7110560,ABB,ABB DC Wallbox,DC,  24 
227,Paradise Center BG238,42.6597267,23.3155477,ABB,ABB DC Wallbox,DC,  24 
228,Paradise Center BG239,42.6597268,23.3155478,ABB,ABB DC Wallbox,DC,  24 
229,Paradise Center BG240,42.6597269,23.3155479,ABB,ABB DC Wallbox,DC,  24 
230,Paradise Center BG241,42.6597270,23.3155480,ABB,ABB DC Wallbox,DC,  24 
231,Paradise Center BG242,42.6597270,23.3155480,ABB,ABB DC Wallbox,DC,  24 
232,Mall Plovdiv BG248,42.1418060,24.718645,ABB,ABB Terra 54CJ,DC,  50 
233,Santa Marina BG243,42.4081010,27.6778520,ABB,ABB DC Wallbox,DC,  24 
234,Yacht Club Marina Sozopol BG234,42.4213080,27.6921440,Circontrol,Circontrol Wallbox,AC,  22 
235,OMV Kazanlak BG249,42.6161670,25.4204440,ABB,ABB Terra 54CJ,DC,  50 
236,Jaguar Land Rover BG244,42.7032176,23.4500912,ABB,ABB Terra 54CJ,DC,  50 
237,Moto-Pfohe Plovdiv Jaguar Land Rover BG245,42.1908727,24.6723910,ABB,ABB Terra 24CG,DC,  24 
238,Moto-Pfohe Varna Jaguar Land Rover BG246,43.2419286,27.8330309,ABB,ABB Terra 24CG,DC,  24 
239,Moto-Pfohe Rent a car Burgas BG247,42.5343686,27.4470996,ABB,ABB Wallbox,AC,  22 
240,IEC BG250,42.6483770,23.3958470,ABB,ABB DC Wallbox,DC,  22 
241,IEC BG251,42.6483771,23.3958471,ABB,ABB DC Wallbox,DC,  22 
242,OMV Blagoevgrad BG252,42.0063086,23.0952036,ABB,ABB Terra 54CJ,DC,  50 
243,OMV Aleksandar Malinov BG253,42.6513610,23.3798060,ABB,ABB Terra 54CJ,DC,  50 
244,Burgas BRC BG254,42.5006480,27.4618190,Circontrol,Circontrol Wallbox,AC,  22 
245,Burgas BRC BG255,42.5006481,27.4618191,Circontrol,Circontrol Wallbox,AC,  22 
246,Burgas BRC BG256,42.5006482,27.4618192,Circontrol,Circontrol Wallbox,AC,  22 
247,Burgas Zheni Pateva BG258,42.5006479,27.4618189,Circontrol,Circontrol Wallbox,AC,  22 
248,Burgas Zheni Pateva BG259,42.5006480,27.4618190,Circontrol,Circontrol Wallbox,AC,  22 
249,OMV Pleven BG261,43.4239137,24.6008041,ABB,ABB Terra 54C,DC,  50 
250,OMV Kulata Right BG267,41.3962910,23.3546520,ABB,ABB Terra 54C,DC,  50 
251,OMV Kulata Left BG268,41.3962910,23.3546520,ABB,ABB Terra 54C,DC,  50 
252,IEES BAS BG265,42.6768090,23.3658459,Circontrol,Circontrol Wallbox,AC,  22 
253,IEES BAS BG266,42.6768091,23.3658460,ABB,ABB DC Wallbox,DC,  24 
254,Polygraphia Office Center BG262,42.6880268,23.3445928,ABB,ABB Wallbox,AC,  22 
255,Polygraphia Office Center BG263,42.6880269,23.3445929,ABB,ABB DC Wallbox,DC,  24 
256,Polygraphia Office Center BG264,42.6880270,23.3445930,ABB,ABB DC Wallbox,DC,  24 
257,Boycho Branzov,42.5155816,27.4670852,ABB,ABB Terra 54C,DC,  50 
258,Hotel Serdika BG269,44.1072220,27.2392500,ABB,ABB Terra 53CJ,DC,  50 
259,The Mall Sofia - 1 BG272,42.6606300,23.3818840,ABB,ABB DC Wallbox,DC,  24 
260,The Mall Sofia - 1 BG273,42.6606300,23.3818840,ABB,ABB DC Wallbox,DC,  24 
261,The Mall Sofia - 2 BG274,42.6606301,23.3818840,ABB,ABB DC Wallbox,DC,  24 
262,The Mall Sofia - 2 BG275,42.6606302,23.3818841,ABB,ABB DC Wallbox,DC,  24 
263,The Mall Sofia - 2 BG276,42.6606303,23.3818842,Circontrol,Circontrol Wallbox,AC,  22 
264,The Mall Sofia - 2 BG277,42.6606304,23.3818843,Circontrol,Circontrol Wallbox,AC,  22 
265,OMV Botevgradsko-North BG278,42.7095280,23.4277500,ABB,ABB Terra 124 CC,DC,  120 
266,VIA Park BG279,42.1250368,24.7215438,ABB,ABB Terra 54CJ,DC,  50 
267,VIA Park BG280,42.1250369,24.7215439,ABB,ABB Terra 54CJ,DC,  50 
268,VIA Park BG281,42.1250370,24.7215440,ABB,ABB Terra 24CG,DC,  24 
269,OMV Lulin BG282,42.7110230,23.2716540,ABB,ABB Terra 53CGJ,DC,  50 
270,Youth Center Burgas BG285,42.4960557,27.4657217,ABB,ABB DC Wallbox,DC,  24 
271,Youth Center Burgas BG286,42.4960558,27.4657218,ABB,ABB DC Wallbox,DC,  24 
272,Youth Center Burgas BG287,42.4960559,27.4657219,ABB,ABB DC Wallbox,DC,  24 
273,Youth Center Burgas BG288,42.4960560,27.4657220,ABB,ABB DC Wallbox,DC,  24 
274,Megapark BG283,42.6616069,23.3800239,Circontrol,Circontrol Wallbox,AC,  22 
275,Megapark BG284,42.6616070,23.3800240,Circontrol,Circontrol Wallbox,AC,  22 
276,Retail Park Pirdop BG289,42.7040100,24.1634420,ABB,ABB Terra 54CJ,DC,  50 
277,Sea Garden - Pomoriyska BG42,42.5070750,27.4819100,Circontrol,Circontrol Wallbox,AC,  22 
278,Sea Garden - Pomoriyska BG43,42.5070751,27.4819101,Circontrol,Circontrol Wallbox,AC,  22 
279,Sea Garden - Pomoriyska BG44,42.5070752,27.4819102,Circontrol,Circontrol Wallbox,AC,  22 
280,Lazur BG45,42.5033609,27.4789169,Circontrol,Circontrol Wallbox,AC,  22 
281,Lazur BG46,42.5033610,27.4789170,ABB,ABB DC Wallbox,DC,  24 
282,Rodopi BG291,42.5047219,27.4674719,Circontrol,Circontrol Wallbox,AC,  22 
283,Rodopi BG292,42.5047220,27.4674720,ABB,ABB DC Wallbox,DC,  24 
284,Megalan Studentski grad BG296,42.6541220,23.3463420,ABB,ABB Wallbox,AC,  22 
285,Bulport logistics BG293,43.1991410,27.8971610,ABB,ABB Terra 54C,DC,  50 
286,OMV Belozem BG297,42.2188900,25.0418440,ABB,ABB Terra 124 CC,DC,  120 
287,Carwash Slavyanska BG299,42.7013320,27.2468940,Wallbox,Wallbox Commander 2,AC,  22 
288,Business Center GORA BG294,42.6559661,23.3232692,ABB,ABB DC Wallbox,DC,  24 
289,Business Center GORA BG295,42.6559662,23.3232693,ABB,ABB DC Wallbox,DC,  24 
290,OMV Korabcheto BG300,42.6415280,23.4044720,ABB,ABB DC Wallbox,DC,  24 
291,OMV Tsarigradsko North BG301,42.6567780,23.3860830,ABB,ABB Terra 54CJ,DC,  50 
292,OMV Malinova Dolina BG302,42.6288610,23.3448330,ABB,ABB Terra 54CJ,DC,  50 
293,Espace Auto BG290,42.6450026,23.3981377,ABB,ABB Terra 54CJ,DC,  50 
294,OMV Haskovo BG303,41.9520580,25.5575840,ABB,ABB Terra 54C,DC,  50 
295,Pana Green Park BG318,42.4944480,24.1870810,ABB,ABB Terra 54C,DC,  50 
296,Port Sarafovo BG308,42.5542980,27.5148380,ABB,ABB Terra 54C,DC,  50 
297,Retail Park Pirdop BG298,42.7040100,24.1634420,ABB,ABB Terra 54C,DC,  50 
298,Plovdiv Plaza Mall BG304,42.1453240,24.7813890,ABB,ABB DC Wallbox,DC,  24 
299,Plovdiv Plaza Mall BG305,42.1453241,24.7813891,ABB,ABB DC Wallbox,DC,  24 
300,Plovdiv Plaza Mall BG306,42.1453242,24.7813892,ABB,ABB DC Wallbox,DC,  24 
301,OMV Vidin BG307,43.9921600,22.8660620,ABB,ABB Terra 54C,DC,  50 
302,The Mall BG309,42.6606301,23.3818841,ABB,ABB Terra 184 CC,DC,  180 
303,Office 1 Logistics BG310,42.6469790,23.5226880,Vestel,Vestel EVC04 22 kW,AC,  22 
304,TEMPEX Plovdiv BG312,42.1013850,24.7604810,Legrand,Legrand ESVE 22kW 1.6-J,AC,  22 
305,Hotel Rila BG313,42.2653670,23.6075750,ABB,ABB DC Wallbox,DC,  24 
306,OMV Druzhba BG314,42.6617710,23.3919650,ABB,ABB Terra 54C,DC,  50 
307,Shell Poduene BG315,42.6965621,23.3556841,ABB,ABB Terra 54C,DC,  50 
308,Hotel SPS Plovdiv BG316,42.1446981,24.7854661,ABB,ABB DC Wallbox,DC,  24 
309,Hotel SPS Plovdiv BG317,42.1446981,24.7854661,ABB,ABB DC Wallbox,DC,  24 
310,Mall Gabrovo BG319,42.8674168,25.3170270,ABB,ABB Wallbox,AC,  22 
311,The Mall BG320,42.6606597,23.3818837,ABB,ABB Terra 124 CC,DC,  120 
312,The Mall BG321,42.6606598,23.3818838,ABB,ABB Terra 124 CC,DC,  120 
313,The Mall BG322,42.6606599,23.3818839,ABB,ABB Terra 124 CC,DC,  120 
314,The Mall BG323,42.6606600,23.3818840,ABB,ABB Terra 124 CC,DC,  120 
315,Shell Studena BG74,42.539298,23.129186,ABB,ABB Terra 124 CC,DC,  120 
316,Trade Center Europe BG324,42.672304,23.395369,Circontrol,Circontrol Wallbox,AC,  22 
317,Trade Center Europe BG325,42.672305,23.395370,Circontrol,Circontrol Wallbox,AC,  22 
318,Moto-Pfohe Aleksandar Malinov BG326,42.6517460,23.3796220,ABB,ABB Wallbox,AC,  22 
319,Retail Park Pernik BG327,42.6074590,23.0561290,Circontrol,Circontrol Wallbox,AC,  22 
320,Retail Park Pernik BG328,42.6074591,23.0561291,Circontrol,Circontrol Wallbox,AC,  22 
321,Praktis Plovdiv BG329,42.1559272,24.7087360,ABB,ABB Terra 54C,DC,  50 
322,Via Park - North BG340,42.1739214,24.7415176,ABB,ABB Terra 124 CC,DC,  120 
323,Via Park - North BG341,42.1739218,24.7418176,ABB,ABB Terra 124 CC,DC,  120 
324,Via Park - North BG342,42.1739218,24.7419176,ABB,ABB Terra 124 CC,DC,  120 
325,Via Park - North BG343,42.1739218,24.7416176,ABB,ABB Terra 124 CC,DC,  120 
326,Via Park - North BG344,42.1739218,24.7415180,ABB,ABB Terra 124 CC,DC,  120 
327,Mall Markovo Tepe BG334,42.1413028,24.7409998,ABB,ABB DC Wallbox,DC,  24 
328,Mall Markovo Tepe BG335,42.1413029,24.7409999,ABB,ABB DC Wallbox,DC,  24 
329,Mall Markovo Tepe BG336,42.1413030,24.7410000,ABB,ABB DC Wallbox,DC,  24 
330,OMV Vratsa BG337,43.1950140,23.5662460,ABB,ABB Terra 54C,DC,  50 
331,Billa BG38,42.6658087,23.2889181,Circontrol,Circontrol Wallbox,AC,  44 
332,San Stefano Plaza BG338,42.6922980,23.3377340,ABB,ABB DC Wallbox,DC,  24 
333,San Stefano Plaza BG339,42.6922981,23.3377341,Schneider Electric,EVLink Post,AC,  44 
334,Retail Park Smolyan BG345,41.5722570,24.7156130,ABB,ABB Terra 124 CC,DC,  120 
335,Burgas Plaza BG347,,,ABB,ABB Terra 124 CC,DC,  120 
336,Schneider Electric Plovdiv BG348,42.1940570,24.6541470,Schneider Electric,EVLink Post,AC,  22 
337,Schneider Electric Plovdiv BG349,42.1940571,24.6541471,Schneider Electric,EVLink Post,AC,  22 
338,Schneider Electric Plovdiv BG350,42.1940572,24.6541472,Schneider Electric,EVLink Post,AC,  22 
339,Schneider Electric Plovdiv BG351,42.1940573,24.6541473,Schneider Electric,EVLink Post,AC,  22 
340,Schneider Electric Plovdiv BG352,42.1940574,24.6541474,Schneider Electric,EVLink Post,AC,  22 
341,OMV Pazardzhik BG346,42.1861777,24.3509694,ABB,ABB Terra 54C,DC,  50 
342,Enikom M BG359,42.7231710,23.2493759,ABB,ABB Terra 54C,DC,  50 
343,Vassilevi Plaza BG168,42.68236,23.40303,ABB,ABB Terra 54C,DC,  50 
344,IKEA BG360,42.70973,23.39431,Circontrol,Circontrol Wallbox,AC,  22 
345,IKEA BG361,42.70974,23.39432,Circontrol,Circontrol Wallbox,AC,  22 
346,IKEA BG362,42.70975,23.39433,Circontrol,Circontrol Wallbox,AC,  22 
347,IKEA BG363,42.70976,23.39434,Circontrol,Circontrol Wallbox,AC,  22 
348,IKEA BG364,42.70977,23.39435,Circontrol,Circontrol Wallbox,AC,  22 
349,IKEA BG365,42.70978,23.39436,Circontrol,Circontrol Wallbox,AC,  22 
350,Megalan Studentski grad BG366,42.6541220,23.3463420,ABB,ABB Wallbox,AC,  22 
351,Megalan Studentski grad BG367,42.6541221,23.3463421,ABB,ABB Wallbox,AC,  22 
352,Ulen Bansko BG40,,,Circontrol,Circontrol Urban,DC,  44 
353,OMV Drazhevo BG353,42.5454004,26.4468745,ABB,ABB Terra 184 CC,DC,  180 
354,Damyanitza Hub BG330,,,ABB,ABB Terra 124 CC,DC,  120 
355,Damyanitza Hub BG331,,,ABB,ABB Terra 124 CC,DC,  120 
356,Damyanitza Hub BG332,,,ABB,ABB Terra 124 CC,DC,  120 
357,Damyanitza Hub BG333,,,ABB,ABB Terra 124 CC,DC,  120 
358,Landmark Creek Hotel & SPA BG22,,,Circontrol,Circontrol Wallbox,AC,  22 
359,Best Western Premier Plovdiv Hills BG41,,,Circontrol,Circontrol Wallbox,AC,  22 
360,Maleeva - Sofia BG146,41.82857,23.47686,Circontrol,Circontrol Wallbox,AC,  22 
361,Karlovo Way Park BG368,42.6431240,24.7882750,ABB,ABB Terra 54C,DC,  50 
362,Karlovo Way Park BG369,42.6431240,24.7882750,Circontrol,Circontrol Wallbox,AC,  22 
363,Karlovo Way Park BG370,41.52533,23.27363,Circontrol,Circontrol Wallbox,AC,  22 
364,Karlovo Way Park BG371,41.52534,23.27364,ABB,ABB DC Wallbox,DC,  24 
365,Raya Garden BG372,43.0709512,25.6490088,Circontrol,Circontrol Wallbox,AC,  22 
366,Raya Garden BG373,43.0709513,25.6490089,Circontrol,Circontrol Wallbox,AC,  22 
367,Raya Garden BG374,43.0709512,25.6490088,Circontrol,Circontrol Wallbox,AC,  22 
368,Raya Garden BG375,43.0709512,25.6490088,ABB,ABB Terra 54C,DC,  50 
369,Margel Vitosha Okolovrasten Pat BG47,42.6370337,23.3245598,Circontrol,Circontrol Wallbox,AC,  22 
370,Omnikar Auto Suhodol BG376,42.6946890,23.2309410,ABB,ABB Terra 54C,DC,  50 
371,Jysk Bozhurishte BG377,42.7339440,23.1935000,ABB,ABB Wallbox,AC,  22 
372,Jysk Bozhurishte BG378,42.7339440,23.1935001,ABB,ABB Wallbox,AC,  22 
373,Jysk Bozhurishte BG379,42.7339440,23.1935000,ABB,ABB Terra 124 CC,DC,  120 
374,Jaguar Land Rover BG380,42.7032176,23.4500912,ABB,ABB Wallbox,AC,  22 
375,Jaguar Land Rover BG381,42.7032177,23.4500913,ABB,ABB Wallbox,AC,  22 
376,Jaguar Land Rover BG387,42.7032178,23.4500914,ABB,ABB Terra 124 CC,DC,  120 
377,Volvo BG382,42.7032176,23.4500912,ABB,ABB Wallbox,AC,  22 
378,Volvo BG383,42.7032177,23.4500913,ABB,ABB Wallbox,AC,  22 
379,Volvo BG384,42.7032178,23.4500914,ABB,ABB Wallbox,AC,  22 
380,Volvo BG385,42.7032176,23.4500912,ABB,ABB Terra 184 CC,DC,  180 
381,Volvo BG386,42.7032177,23.4500913,ABB,ABB Wallbox,AC,  22 
382,Interpred Gotse Delchev BG388,41.5804440,23.7441670,ABB,ABB Terra 184 CC,DC,  180 
383,Rayski Kat Marianna BG57,42.2719170,23.2053060,Circontrol,Circontrol Wallbox,AC,  22 
384,Bulvaria BG170,43.2356179,27.8699759,Circontrol,Circontrol Wallbox,AC,  22 
385,Bulvaria BG171,43.2356180,27.8699760,ABB,ABB Terra 54C,DC,  50 
386,Tsalapitsa BG391,42.1963420,24.5713840,ABB,ABB Terra 54C,DC,  50 
387,Torgoterm BG394,42.2894776,22.7032906,ABB,ABB Terra 124 CC,DC,  120 
388,Hotel Casablanca BG270,42.8261430,27.8788390,Circontrol,Circontrol Wallbox,AC,  22 
389,Hotel Casablanca BG271,42.8261430,27.8788390,Circontrol,Circontrol Wallbox,AC,  22 
390,Work Nomads BG392,42.6535132,23.3465236,ABB,ABB DC Wallbox,DC,  24 
391,Work Nomads BG393,42.6535132,23.3465236,ABB,ABB DC Wallbox,DC,  24 
392,International Hotel Casino & Tower Suites BG389,43.2829980,28.0424050,ABB,ABB DC Wallbox,DC,  24 
393,Sunrise Resort BG102,42.8261430,27.8788390,Circontrol,Circontrol Urban,AC,  44 
394,Kuzi Carwash BG390,42.7164720,27.2535000,ABB,ABB Wallbox,AC,  22 
395,OMV Dupnica BG396,42.2846305,23.1230081,ABB,ABB Terra 54C,DC,  50 
396,Toyota Blagoevgrad BG397,41.9475483,23.0965923,ABB,ABB Terra 124 CC,DC,  120 
397,Office 1 Tsarigradsko BG311,42.6515220,23.3923120,ABB,ABB Wallbox,AC,  22 
398,Therma Village BG395,43.3448340,28.0678420,ABB,ABB Wallbox,AC,  22 
399,Secrets Sunny Beach Resort & Spa BG398,42.7098740,27.7340770,ABB,ABB Terra 54C,DC,  50 
400,Hyatt Regency Pravets BG399,42.9094424,23.8935843,Circontrol,Circontrol Wallbox,AC,  22 
401,Hyatt Regency Pravets BG400,42.9094424,23.8935843,ABB,ABB Terra 124 CC,DC,  120 
402,Primex - AVG BG401,42.1096350,24.7611930,ABB,ABB Wallbox,AC,  22 
403,Primex - AVG BG402,42.1096351,24.7611931,ABB,ABB Wallbox,AC,  22 
404,Primex - AVG BG403,42.1096352,24.7611932,ABB,ABB Wallbox,AC,  22 
405,Aiko BG404,42.7398623,23.2375229,Circontrol,Circontrol Wallbox,AC,  22 
406,Aiko BG405,42.7398624,23.2375230,Circontrol,Circontrol Wallbox,AC,  22 
407,Aiko BG406,42.7398623,23.2375229,ABB,ABB Terra 54C,DC,  50 
408,Hotel Avenue BG11,,,Circontrol,Circontrol Wallbox,AC,  22 
409,Smart Business Center BG131,,,Circontrol,Circontrol Wallbox,AC,  22 
410,Tennis Center Avenue BG407,,,Circontrol,Circontrol Wallbox,AC,  22 
411,Moto-Pfohe Rent a car Burgas BG412,42.5343686,27.4470996,ABB,ABB Terra 124 CC,DC,  120 
412,Geotrading BG408,,,ABB,ABB Terra 53 CJG,DC,  72 
413,Green Life BG409,,,Circontrol,Circontrol Wallbox,AC,  22 
414,Green Life BG410,,,Circontrol,Circontrol Wallbox,AC,  22 
415,Green Life BG411,,,Circontrol,Circontrol Wallbox,AC,  22 
416,Holiday Park Pernik BG413,,,Starcharge,StarCharge Athena,DC,  60 
417,Retail Park Dupnitsa BG414,,,ABB,ABB Terra 54C,DC,  50 
418,Green Life Ski & Spa Resort BG417,,,Circontrol,Circontrol Wallbox,AC,  22 
419,Green Life Ski & Spa Resort BG418,,,Circontrol,Circontrol Wallbox,AC,  22 
420,Moto-Pfohe Plovdiv Jaguar Land Rover BG419,,,ABB,ABB Wallbox,AC,  22 
421,Moto-Pfohe Plovdiv Jaguar Land Rover BG420,,,ABB,ABB Wallbox,AC,  22 
422,Hotel Balkan Gabrovo BG422,,,Schneider Electric,EVLink Post,AC,  22 
423,Praktis Veliko Tarnovo BG421,,,ABB,ABB Terra 54C,DC,  50 
424,Hushove Radomir BG415,,,Circontrol,Circontrol Wallbox,AC,  22 
425,7 Lakes Camping Sapareva Banya BG416,,,Circontrol,Circontrol Wallbox,AC,  22 
426,Porsche Center BG423,,,Delta,Delta,DC,  24 
427,Porsche Center BG424,,,Delta,Delta,DC,  24 
428,Porsche Center BG425,,,Delta,Delta,DC,  24 
429,Porsche Center BG426,,,Delta,Delta,DC,  24 
430,Bulport Logistics BG201,,,Hypercharger,Hypercharger 150,DC,  150 
431,University of Transport BG427,,,ABB,ABB DC Wallbox,DC,  24 
432,University of Transport BG428,,,Circontrol,Circontrol Wallbox,AC,  22 
433,University of Transport BG429,,,Circontrol,Circontrol Wallbox,AC,  22 
434,University of Transport BG430,,,Circontrol,Circontrol Wallbox,AC,  22 
435,University of Transport BG431,,,Circontrol,Circontrol Wallbox,AC,  22 
436,Koriata Restaurant BG202,,,ABB,ABB Terra 54C,DC,  50 
437,Hotel Druzhba BG432,,,ABB,ABB Terra 54C,DC,  50 
438,Holiday Park Haskovo BG433,,,ABB,ABB Terra 124CC,DC,  120 
439,Parking Gurko Burgas BG434,,,ABB,ABB Wallbox,AC,  22 
440,Lufthansa BG436,,,Circontrol,Circontrol Wallbox,AC,  22 
441,Lufthansa BG437,,,Circontrol,Circontrol Wallbox,AC,  22 
442,Lufthansa BG438,,,Circontrol,Circontrol Wallbox,AC,  22 
443,Lufthansa BG439,,,Circontrol,Circontrol Wallbox,AC,  22 